"long","lat","group","order","region","subregion","long.new","X","Y"
22.88426,78.45494,97,3296,"21 1","4",-157.11574,-9463466.22956004,7986703.81759477
23.28134,78.07954,97,3297,"21 1","4",-156.71866,-9498192.89749672,7957561.30910105
24.72412,77.85385,97,3298,"21 1","4",-155.27588,-9445644.33293352,7939871.35010996
-46.76379,82.62796,98,3300,"22 1",NA,133.23621,7485242.92218263,8280938.16822944
-43.40644,83.22516,98,3301,"22 1",NA,136.59356,7598797.30479135,8317881.68031196
-39.89753,83.18018,98,3302,"22 1",NA,140.10247,7799751.66982163,8315148.62604565
-38.62214,83.54905,98,3303,"22 1",NA,141.37786,7823401.57089539,8337319.82763492
-35.08787,83.64513,98,3304,"22 1",NA,144.91213,8006427.9891797,8343003.65250705
-27.10046,83.51966,98,3305,"22 1",NA,152.89954,8465033.16342515,8335573.62891478
-20.84539,82.72669,98,3306,"22 1",NA,159.15461,8926780.87561706,8287142.91656391
-22.69182,82.34165,98,3307,"22 1",NA,157.30818,8879580.50234327,8262730.66318381
-26.51753,82.29765,98,3308,"22 1",NA,153.48247,8669951.52989415,8259904.53212688
-31.9,82.2,98,3309,"22 1",NA,148.1,8379467.13820231,8253606.0056777
-31.39646,82.02154,98,3310,"22 1",NA,148.60354,8432915.6429928,8242001.52651186
-27.85666,82.13178,98,3311,"22 1",NA,152.14334,8617992.72725616,8249184.199294
-24.84448,81.78697,98,3312,"22 1",NA,155.15552,8839156.43402496,8226566.16999691
-22.90328,82.09317,98,3313,"22 1",NA,157.09672,8904279.65566533,8246673.79722343
-22.07175,81.73449,98,3314,"22 1",NA,157.92825,9004986.33953412,8223084.75157278
-23.16961,81.15271,98,3315,"22 1",NA,156.83039,9029650.78954281,8183814.23812306
-20.62363,81.52462,98,3316,"22 1",NA,159.37637,9119411.54351617,8209060.72527186
-15.76818,81.91245,98,3317,"22 1",NA,164.23182,9336708.09080244,8234848.7140885
-12.77018,81.71885,98,3318,"22 1",NA,167.22982,9537842.08981299,8222045.25038241
-12.20855,81.29154,98,3319,"22 1",NA,167.79145,9638352.9444581,8193296.96547273
-16.28533,80.58004,98,3320,"22 1",NA,163.71467,9516812.51725787,8143975.77913836
-16.85,80.35,98,3321,"22 1",NA,163.15,9520622.11602827,8127651.67571062
-20.04624,80.17708,98,3322,"22 1",NA,159.95376,9361204.03215502,8115262.22397546
-17.73035,80.12912,98,3323,"22 1",NA,162.26965,9504379.92413361,8111808.09153536
-18.9,79.4,98,3324,"22 1",NA,161.1,9551882.88285153,8058367.71903317
-19.70499,78.75128,98,3325,"22 1",NA,160.29501,9607605.40346894,8009446.93640141
-19.67353,77.63859,98,3326,"22 1",NA,160.32647,9787191.75089234,7922886.01397442
-18.47285,76.98565,98,3327,"22 1",NA,161.52715,9964863.32366685,7870736.49284568
-20.03503,76.94434,98,3328,"22 1",NA,159.96497,9874997.8807604,7867407.23740418
-21.67944,76.62795,98,3329,"22 1",NA,158.32056,9822658.58463494,7841799.27195618
-19.83407,76.09808,98,3330,"22 1",NA,160.16593,10019717.9644148,7798508.29762521
-19.59896,75.24838,98,3331,"22 1",NA,160.40104,10164494.7141749,7728176.311115
-20.66818,75.15585,98,3332,"22 1",NA,159.33182,10110584.6753927,7720459.09004755
-19.37281,74.29561,98,3333,"22 1",NA,160.62719,10320144.5235434,7648248.40641067
-21.59422,74.22382,98,3334,"22 1",NA,158.40578,10187714.5341738,7642184.86673243
-20.43454,73.81713,98,3335,"22 1",NA,159.56546,10320519.7211468,7607726.46545902
-20.76234,73.46436,98,3336,"22 1",NA,159.23766,10349033.7445781,7577687.29709239
-22.17221,73.30955,98,3337,"22 1",NA,157.82779,10278839.624255,7564461.07028046
-23.56593,73.30663,98,3338,"22 1",NA,156.43407,10188470.5795894,7564211.34269106
-22.31311,72.62928,98,3339,"22 1",NA,157.68689,10362488.7760855,7506025.38764595
-22.29954,72.18409,98,3340,"22 1",NA,157.70046,10423086.9656531,7467503.95817373
-24.27834,72.59788,98,3341,"22 1",NA,155.72166,10237526.4879262,7503315.64874463
-24.79296,72.3302,98,3342,"22 1",NA,155.20704,10239085.1366339,7480170.93144683
-23.44296,72.08016,98,3343,"22 1",NA,156.55704,10361241.5776696,7458479.28561059
-22.13281,71.46898,98,3344,"22 1",NA,157.86719,10528576.1818024,7405164.38293929
-21.75356,70.66369,98,3345,"22 1",NA,158.24644,10658542.0426537,7334280.964697
-23.53603,70.471,98,3346,"22 1",NA,156.46397,10562986.2353866,7317212.78395851
-24.30702,70.85649,98,3347,"22 1",NA,155.69298,10462066.6836268,7351317.4662911
-25.54341,71.43094,98,3348,"22 1",NA,154.45659,10305983.3748019,7401832.28461092
-25.20135,70.75226,98,3349,"22 1",NA,154.79865,10415145.9353305,7342112.47371159
-26.36276,70.22646,98,3350,"22 1",NA,153.63724,10402556.6318097,7295492.22086119
-23.72742,70.18401,98,3351,"22 1",NA,156.27258,10586346.2768737,7291714.93180413
-22.34902,70.12946,98,3352,"22 1",NA,157.65098,10686658.6217929,7286858.01066719
-25.02927,69.2588,98,3353,"22 1",NA,154.97073,10612967.9871106,7208892.22112062
-27.74737,68.47046,98,3354,"22 1",NA,152.25263,10521663.8110373,7137594.71384343
-30.67371,68.12503,98,3355,"22 1",NA,149.32629,10359857.3682256,7106150.40999283
-31.77665,68.12078,98,3356,"22 1",NA,148.22335,10283830.8125127,7105762.77750846
-32.81105,67.73547,98,3357,"22 1",NA,147.18895,10256281.365204,7070544.06811481
-34.20196,66.67974,98,3358,"22 1",NA,145.79804,10278257.9001083,6973301.29045162
-36.35284,65.9789,98,3359,"22 1",NA,143.64716,10203586.5812181,6908167.99331095
-37.04378,65.93768,98,3360,"22 1",NA,142.95622,10158993.8299484,6904323.27372582
-38.37505,65.69213,98,3361,"22 1",NA,141.62495,10090825.6815698,6881388.68814583
-39.81222,65.45848,98,3362,"22 1",NA,140.18778,10013266.7580551,6859516.23317246
-40.66899,64.83997,98,3363,"22 1",NA,139.33101,10017158.0487154,6801390.47070888
-40.68281,64.13902,98,3364,"22 1",NA,139.31719,10089471.8116487,6735127.76738487
-41.1887,63.48246,98,3365,"22 1",NA,138.8113,10120802.1873119,6672697.30654381
-42.81938,62.68233,98,3366,"22 1",NA,137.18062,10083155.5126219,6596152.2957365
-42.41666,61.90093,98,3367,"22 1",NA,137.58334,10191652.6154004,6520922.84930949
-42.86619,61.07404,98,3368,"22 1",NA,137.13381,10240799.0934701,6440818.1614764
-43.3784,60.09772,98,3369,"22 1",NA,136.6216,10298459.1053965,6345605.2060488
-44.7875,60.03676,98,3370,"22 1",NA,135.2125,10198129.2161179,6339638.1569131
-46.26364,60.85328,98,3371,"22 1",NA,133.73636,10008416.4384785,6419348.12958519
-48.26294,60.85843,98,3372,"22 1",NA,131.73706,9858305.49041597,6419849.39038056
-49.23308,61.40681,98,3373,"22 1",NA,130.76692,9733790.68614426,6473115.32735097
-49.90039,62.38336,98,3374,"22 1",NA,130.09961,9591303.07664218,6567423.64851155
-51.63325,63.62691,98,3375,"22 1",NA,128.36675,9345491.79588132,6686462.39945745
-52.14014,64.27842,98,3376,"22 1",NA,127.85986,9246377.68848225,6748337.92963689
-52.27659,65.1767,98,3377,"22 1",NA,127.72341,9150192.50394522,6833075.22657679
-53.66166,66.09957,98,3378,"22 1",NA,126.33834,8962484.7126781,6919414.4929358
-53.30161,66.8365,98,3379,"22 1",NA,126.69839,8916541.64942925,6987807.77887301
-53.96911,67.18899,98,3380,"22 1",NA,126.03089,8835334.98573218,7020342.05077276
-52.9804,68.35759,98,3381,"22 1",NA,127.0196,8789148.22053568,7127333.6517155
-51.47536,68.72958,98,3382,"22 1",NA,128.52464,8855690.88002842,7161101.57753092
-51.08041,69.14781,98,3383,"22 1",NA,128.91959,8840253.7336688,7198894.05765772
-50.87122,69.9291,98,3384,"22 1",NA,129.12878,8774050.05601882,7268989.96673464
-52.013585,69.574925,98,3385,"22 1",NA,127.986415,8732742.36180313,7237296.49840485
-52.55792,69.42616,98,3386,"22 1",NA,127.44208,8710728.53941235,7223943.23750911
-53.45629,69.283625,98,3387,"22 1",NA,126.54371,8663683.10837417,7211126.6896404
-54.68336,69.61003,98,3388,"22 1",NA,125.31664,8547063.6051838,7240444.03388005
-54.75001,70.28932,98,3389,"22 1",NA,125.24999,8474135.78141254,7301081.94469787
-54.35884,70.821315,98,3390,"22 1",NA,125.64116,8446292.66392537,7348212.36691382
-53.431315,70.835755,98,3391,"22 1",NA,126.568685,8507152.82393354,7349487.23556737
