Long,Lat,BATHY
8.5,88.5,4409.4487
9.5,88.5,4377.9526
10.5,88.5,4346.4565
11.5,88.5,4346.4565
12.5,88.5,4314.9604
13.5,88.5,4283.4644
14.5,88.5,4251.9683
15.5,88.5,4251.9683
16.5,88.5,4251.9683
17.5,88.5,4251.9683
18.5,88.5,4251.9683
19.5,88.5,4251.9683
20.5,88.5,4251.9683
21.5,88.5,4251.9683
22.5,88.5,4251.9683
23.5,88.5,4251.9683
24.5,88.5,4251.9683
25.5,88.5,4251.9683
26.5,88.5,4251.9683
27.5,88.5,4251.9683
28.5,88.5,4251.9683
29.5,88.5,4251.9683
30.5,88.5,4251.9683
31.5,88.5,4251.9683
32.5,88.5,4251.9683
33.5,88.5,4251.9683
34.5,88.5,4251.9683
35.5,88.5,4251.9683
36.5,88.5,4251.9683
37.5,88.5,4251.9683
38.5,88.5,4251.9683
39.5,88.5,4251.9683
40.5,88.5,4251.9683
41.5,88.5,4251.9683
42.5,88.5,4251.9683
43.5,88.5,4251.9683
44.5,88.5,4251.9683
45.5,88.5,4251.9683
46.5,88.5,4251.9683
47.5,88.5,4251.9683
48.5,88.5,4251.9683
49.5,88.5,4251.9683
50.5,88.5,4251.9683
51.5,88.5,4251.9683
52.5,88.5,4251.9683
53.5,88.5,4251.9683
54.5,88.5,4251.9683
55.5,88.5,4251.9683
56.5,88.5,4251.9683
57.5,88.5,4251.9683
58.5,88.5,4251.9683
59.5,88.5,4251.9683
60.5,88.5,4251.9683
61.5,88.5,4251.9683
62.5,88.5,4251.9683
63.5,88.5,4251.9683
64.5,88.5,4251.9683
65.5,88.5,4251.9683
66.5,88.5,4251.9683
67.5,88.5,4251.9683
68.5,88.5,4251.9683
69.5,88.5,4251.9683
70.5,88.5,4251.9683
71.5,88.5,4251.9683
72.5,88.5,4251.9683
73.5,88.5,4251.9683
74.5,88.5,4251.9683
75.5,88.5,4251.9683
76.5,88.5,4251.9683
77.5,88.5,4251.9683
78.5,88.5,4251.9683
79.5,88.5,4251.9683
80.5,88.5,4251.9683
81.5,88.5,4251.9683
82.5,88.5,4251.9683
83.5,88.5,4251.9683
84.5,88.5,4251.9683
85.5,88.5,4251.9683
86.5,88.5,4251.9683
87.5,88.5,4251.9683
88.5,88.5,4251.9683
89.5,88.5,4251.9683
90.5,88.5,4251.9683
91.5,88.5,4251.9683
92.5,88.5,4251.9683
93.5,88.5,4251.9683
94.5,88.5,4251.9683
