"Reference","added_or_amended","X","coast","Location","Date","Time","Lat","Long","Temp","Sal","Turbidity","sample","bottom","Community_Respiration","Size_fraction_µm","BR_method","Bacterial_Respiratn","BP_method","Bact_prod_filter","Bact_prod_unfil","Bact_prod_filter.1","Bact_prod_unfil.1","BGE","Bact.Abun.filter","Bact.Abun.unfilt","Bact.biomass","DOC","Chl.a","NH4","PO4","NO2","NO3","log10chl","log10no3","log10_bac_prod","Bact_prod_all","log10_bact_prod_all"
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","20c1","21-Apr-02","8:14",51.77,3.41,9.59,32.88,0.31,5,29,NA,"0.8","Winkler oxygen",2.79,"leucine uptake using 1.5 kg C mol-1 leucine",1.53,2.64,NA,NA,0.35,0.5,0.44,NA,97.4,NA,0.861,0.05,0.197,6.546,NA,0.815976000971986,0.184691430817599,4.17,0.620136054973757
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","45c5","23-Apr-02","3:09",52.9,4.52,9.55,32.06,0.33,5,24,NA,"0.8","Winkler oxygen",2.49,"leucine uptake using 1.5 kg C mol-1 leucine",1.25,3.03,NA,NA,0.33,0.78,1.28,NA,95.6,5.76,3.447,0.033,0.342,9.939,0.760422483423212,0.997342690601622,0.0969100130080564,4.28,0.631443769013172
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","47c1","24-Apr-02","8:15",53.04,4.61,10,31.24,0.5,5,40,NA,"0.8","Winkler oxygen",1.09,"leucine uptake using 1.5 kg C mol-1 leucine",0.28,0.19,NA,NA,0.21,NA,NA,NA,75.5,0.41,0.201,0.139,0.02,0.15,-0.387216143280265,-0.823908740944319,-0.552841968657781,0.47,-0.327902142064283
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","48c1","24-Apr-02","12:19",54.65,3.77,8.27,34.68,0.06,5,26,NA,"0.8","Winkler oxygen",0.92,"leucine uptake using 1.5 kg C mol-1 leucine",0.24,0.39,NA,NA,0.21,NA,NA,NA,42.4,0.77,0.131,0.051,0.012,0.044,-0.113509274827518,-1.35654732351381,-0.619788758288394,0.63,-0.200659450546418
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c4","24-Apr-02","23:36",55.18,3.25,8.83,34.83,0.01,5,75,NA,"0.8","Winkler oxygen",0.72,"leucine uptake using 1.5 kg C mol-1 leucine",0.23,0.41,NA,NA,0.24,0.61,0.5,NA,41.9,1.49,0.355,0.197,0.009,0.039,0.173186268412274,-1.4089353929735,-0.638272163982407,0.64,-0.193820026016113
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c6","25-Apr-02","7:43",55.84,2.62,8.1,34.92,0.05,5,77,NA,"0.8","Winkler oxygen",0.39,"leucine uptake using 1.5 kg C mol-1 leucine",0.1,0.2,NA,NA,0.2,NA,NA,NA,79,1.03,0.455,0.236,0.012,0.153,0.0128372247051722,-0.815308569182401,-1,0.3,-0.522878745280338
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c7","25-Apr-02","11:49",55.83,2.68,8.06,34.92,0.05,5,75,NA,"0.8","Winkler oxygen",0.22,"leucine uptake using 1.5 kg C mol-1 leucine",0.1,0.18,NA,NA,0.31,NA,NA,NA,58.1,1.3,0.327,0.218,0.012,0.054,0.113943352306837,-1.26760624017703,-1,0.28,-0.552841968657781
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c9","25-Apr-02","15:43",55.81,2.68,8.19,34.92,0.06,5,75,NA,"0.8","Winkler oxygen",0.22,"leucine uptake using 1.5 kg C mol-1 leucine",0.15,0.13,NA,NA,0.4,NA,NA,NA,44.9,1.44,0.314,0.192,0.004,NA,0.15836249209525,NA,-0.823908740944319,0.28,-0.552841968657781
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c10","25-Apr-02","19:43",55.79,2.66,8.36,34.92,0.06,5,77,NA,"0.8","Winkler oxygen",0.48,"leucine uptake using 1.5 kg C mol-1 leucine",0.14,0.09,NA,NA,0.23,NA,NA,NA,49.4,2.33,0.102,0.2,0.017,0.112,0.367355921026019,-0.950781977329818,-0.853871964321762,0.23,-0.638272163982407
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c12","25-Apr-02","23:41",55.81,2.71,8.39,34.92,0.06,5,75,NA,"0.8","Winkler oxygen",0.73,"leucine uptake using 1.5 kg C mol-1 leucine",0.05,0.01,NA,NA,0.07,NA,NA,NA,36.3,1.21,0.056,0.201,0.028,0.154,0.0827853703164501,-0.812479279163537,-1.30102999566398,0.06,-1.22184874961636
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","51c14","26-Apr-02","7:43",55.82,2.72,8.31,34.92,0.06,5,74,NA,"0.8","Winkler oxygen",0.36,"leucine uptake using 1.5 kg C mol-1 leucine",0.16,0.04,NA,NA,0.31,0.42,0.38,NA,85.5,1.52,0.307,0.2,0.026,0.231,0.181843587944773,-0.636388020107856,-0.795880017344075,0.2,-0.698970004336019
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","52c1","26-Apr-02","15:11",55.84,2.73,8.19,34.92,0.05,5,36,NA,"0.8","Winkler oxygen",0.69,"leucine uptake using 1.5 kg C mol-1 leucine",0.32,0.75,NA,NA,0.32,NA,NA,NA,108.3,1.34,0.248,0.107,0.001,0.034,0.127104798364808,-1.46852108295774,-0.494850021680094,1.07,0.0293837776852097
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","54c1","27-Apr-02","11:56",55.4,2.65,8.38,34.82,0.16,5,41,NA,"0.8","Winkler oxygen",0.72,"leucine uptake using 1.5 kg C mol-1 leucine",0.15,0.94,NA,NA,0.17,NA,NA,NA,80.5,2.17,0.513,0.369,0.168,10.011,0.33645973384853,1.00047746137446,-0.823908740944319,1.09,0.0374264979406236
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","55c1","27-Apr-02","19:19",52.34,2.5,10.32,34.48,0.82,5,22,NA,"0.8","Winkler oxygen",0.86,"leucine uptake using 1.5 kg C mol-1 leucine",0.57,3.44,NA,NA,0.4,NA,0.56,NA,138.9,9.12,1.446,0.084,0.279,18.794,0.959994838328416,1.27401922251933,-0.244125144327509,4.01,0.603144372620182
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","59c1","28-Apr-02","3:31",51.5,3,9.9,34.64,0.91,5,38,NA,"0.8","Winkler oxygen",0.84,"leucine uptake using 1.5 kg C mol-1 leucine",0.38,1.62,NA,NA,0.31,0.46,0.49,NA,56.9,10.37,NA,NA,NA,NA,1.01577875638904,NA,-0.42021640338319,2,0.301029995663981
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","60c1","28-Apr-02","10:06",51.29,1.89,8.87,34.22,6.16,5,45,NA,"0.8","Winkler oxygen",1.46,"leucine uptake using 1.5 kg C mol-1 leucine",0.15,0.76,NA,NA,0.1,NA,NA,NA,64.1,5.15,0.184,0.24,0.116,8.178,0.711807229041191,0.912647106218317,-0.823908740944319,0.91,-0.0409586076789064
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","61c1","28-Apr-02","16:40",52.95,2.5,8.39,34.37,0.19,5,31,NA,"0.8","Winkler oxygen",0.98,"leucine uptake using 1.5 kg C mol-1 leucine",0.15,0.02,NA,NA,0.13,NA,NA,NA,54.9,1.95,0.09,0.088,0.038,0.178,0.290034611362518,-0.749579997691106,-0.823908740944319,0.17,-0.769551078621726
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","63c4","29-Apr-02","8:58",54.7,4.67,8.33,34.4,0.27,5,32,NA,"0.8","Winkler oxygen",0.94,"leucine uptake using 1.5 kg C mol-1 leucine",0.42,0.35,NA,NA,0.31,0.57,0.57,NA,104.3,1.19,0.084,0.105,0.036,0.264,0.0755469613925307,-0.578396073130169,-0.3767507096021,0.77,-0.113509274827518
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","63c5","29-Apr-02","9:44",54.72,4.77,8.14,34.43,0.3,5,35,NA,"0.8","Winkler oxygen",0.98,"leucine uptake using 1.5 kg C mol-1 leucine",0.45,0.9,NA,NA,0.32,0.67,0.65,NA,59.7,1.69,0.094,0.115,0.03,0.32,0.227886704613674,-0.494850021680094,-0.346787486224656,1.35,0.130333768495006
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","63c6","29-Apr-02","13:41",54.72,4.76,8.19,34.42,0.27,5,35,NA,"0.8","Winkler oxygen",0.94,"leucine uptake using 1.5 kg C mol-1 leucine",0.36,0.48,NA,NA,0.28,0.55,0.5,NA,68.4,0.65,0.117,0.113,0.028,0.431,-0.187086643357144,-0.365522729839268,-0.443697499232713,0.84,-0.0757207139381184
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","63c7","29-Apr-02","21:14",54.73,4.83,8.11,34.42,0.33,5,35,NA,"0.8","Winkler oxygen",0.98,"leucine uptake using 1.5 kg C mol-1 leucine",0.35,0.32,NA,NA,0.27,0.53,0.5,NA,63.2,1.36,0.119,0.119,0.037,0.338,0.133538908370218,-0.471083299722345,-0.455931955649724,0.67,-0.173925197299174
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","63c9","29-Apr-02","1:14",54.74,4.93,8.01,34.43,0.37,5,37,NA,"0.8","Winkler oxygen",0.65,"leucine uptake using 1.5 kg C mol-1 leucine",0.28,0.24,NA,NA,0.3,0.44,0.57,NA,80.1,1.15,0.169,0.145,0.044,0.579,0.0606978403536116,-0.237321436272564,-0.552841968657781,0.52,-0.283996656365201
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","63c13","30-Apr-02","13:30",54.8,5.03,9.47,34.6,2.25,5,36,NA,"0.8","Winkler oxygen",0.45,"leucine uptake using 1.5 kg C mol-1 leucine",0.22,0.54,NA,NA,0.33,0.63,0.55,NA,99.3,1.15,0.188,0.134,0.045,0.479,0.0606978403536116,-0.319664486585437,-0.657577319177794,0.76,-0.119186407719209
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","64c1","1-May-02","4:47",53.7,4.5,8.96,34.13,7.1,5,32,NA,"0.8","Winkler oxygen",0.6,"leucine uptake using 1.5 kg C mol-1 leucine",0.33,0.76,NA,NA,0.36,NA,NA,NA,73.2,3.85,0.522,0.034,0.068,0.493,0.585460729508501,-0.30715308072277,-0.481486060122112,1.09,0.0374264979406237
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","65c1","1-May-02","18:31",53.13,3.12,10,34.51,0.73,5,25,NA,"0.8","Winkler oxygen",1.08,"leucine uptake using 1.5 kg C mol-1 leucine",0.09,0.21,NA,NA,0.07,NA,NA,NA,83.1,2.72,0.407,0.502,0.12,8.552,0.434568904034199,0.932067692200722,-1.04575749056068,0.3,-0.522878745280338
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","801","12-Jun-01","4:03",53.75,3.5,11.7,34.04,0.84,5,32,NA,"0.8","Winkler oxygen",0.77,"leucine uptake using 1.5 kg C mol-1 leucine",0.39,1.92,NA,NA,0.33,0.69,1.11,NA,100.8,3.35,0.248,0.014,0.013,0.025,0.525044807036845,-1.60205999132796,-0.408935392973501,2.31,0.363611979892144
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","805","12-Jun-01","12:18",53.25,3.5,12.12,34.04,1.41,5,23,NA,"0.8","Winkler oxygen",0.9,"leucine uptake using 1.5 kg C mol-1 leucine",0.43,0.93,NA,NA,0.32,0.8,1.26,NA,270.9,1.32,3.059,0.07,0.045,0.637,0.12057393120585,-0.19586056766465,-0.366531544420413,1.36,0.133538908370218
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","808","12-Jun-01","16:53",52.88,3.5,12.71,34.72,0.43,5,26,NA,"0.8","Winkler oxygen",2.05,"leucine uptake using 1.5 kg C mol-1 leucine",0.8,1.14,NA,NA,0.28,3.33,5.28,NA,217.6,0.33,0.259,0.018,0.015,0.081,-0.481486060122112,-1.09151498112135,-0.0969100130080564,1.94,0.287801729930226
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","812","13-Jun-01","6:03",53.37,3.47,12,33.97,1.71,5,24,NA,"0.8","Winkler oxygen",1.18,"leucine uptake using 1.5 kg C mol-1 leucine",0.27,0.58,NA,NA,0.19,0.79,1.19,NA,361.5,1.49,3.639,0.066,0.068,1.229,0.173186268412274,0.0895518828864541,-0.568636235841013,0.85,-0.0705810742857073
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","825","14-Jun-01","11:25",52.67,2.38,12.03,33.98,0.26,5,47,NA,"0.8","Winkler oxygen",0.94,"leucine uptake using 1.5 kg C mol-1 leucine",0.63,0.98,NA,NA,0.4,0.64,1.06,NA,147.3,2.5,3.091,0.067,0.068,2.564,0.397940008672038,0.40891802084678,-0.200659450546418,1.61,0.20682587603185
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","827","14-Jun-01","17:09",52.33,2.48,11.84,33.99,0.22,5,39,NA,"0.8","Winkler oxygen",2.51,"leucine uptake using 1.5 kg C mol-1 leucine",0.77,1.17,NA,NA,0.24,1.04,1.56,NA,193.7,2.55,2.347,0.029,0.049,1.242,0.406540180433955,0.0941215958405614,-0.113509274827518,1.94,0.287801729930226
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","832","15-Jun-01","6:04",53.42,3.41,12.09,33.97,0.76,5,26,NA,"0.8","Winkler oxygen",1.29,"leucine uptake using 1.5 kg C mol-1 leucine",0.56,1.01,NA,NA,0.3,0.64,1.15,NA,190.7,1.36,3.957,0.086,0.086,1.705,0.133538908370218,0.231724383328517,-0.2518119729938,1.57,0.195899652409234
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","838","15-Jun-01","16:37",53.45,3.44,12.27,34.02,0.56,5,26,NA,"0.8","Winkler oxygen",0.91,"leucine uptake using 1.5 kg C mol-1 leucine",0.67,1.22,NA,NA,0.42,0.95,1.2,NA,109.8,1.24,3.55,0.096,0.07,1.48,0.0934216851622351,0.170261715394957,-0.173925197299174,1.89,0.276461804173244
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","843","16-Jun-01","6:22",52.9,3,12.13,34.2,0.43,5,37,NA,"0.8","Winkler oxygen",0.81,"leucine uptake using 1.5 kg C mol-1 leucine",0.35,2.07,NA,NA,0.3,1.36,1.71,NA,NA,1.04,2.495,0.06,0.044,0.867,0.0170333392987804,-0.0619809025237897,-0.455931955649724,2.42,0.383815365980431
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","845","16-Jun-01","11:29",53.25,2.92,12.38,34,0.44,5,27,NA,"0.8","Winkler oxygen",1.87,"leucine uptake using 1.5 kg C mol-1 leucine",0.26,0.63,NA,NA,0.12,0.98,0.99,NA,120.3,1.01,4.42,0.139,0.071,2.291,0.00432137378264258,0.360025089189398,-0.585026652029182,0.89,-0.0506099933550872
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","847","16-Jun-01","14:35",53.67,2.83,12.43,34.72,0.09,5,35,NA,"0.8","Winkler oxygen",0.43,"leucine uptake using 1.5 kg C mol-1 leucine",0.12,0.59,NA,NA,0.21,0.45,0.69,NA,113.9,0.84,0.113,0.122,0.012,0.029,-0.0757207139381184,-1.53760200210104,-0.920818753952375,0.71,-0.148741651280925
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","852","17-Jun-01","3:58",53.53,3.67,12.29,34,0.61,5,30,NA,"0.8","Winkler oxygen",2.73,"leucine uptake using 1.5 kg C mol-1 leucine",0.45,0.29,NA,NA,0.14,1.16,1.48,NA,107.5,1.36,3.713,0.074,0.083,1.428,0.133538908370218,0.154728207440156,-0.346787486224656,0.74,-0.130768280269024
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","858","17-Jun-01","12:05",53.5,3.68,12.62,33.81,0.61,5,28,NA,"0.8","Winkler oxygen",1.85,"leucine uptake using 1.5 kg C mol-1 leucine",0.63,0.82,NA,NA,0.25,1.19,1.63,NA,114.7,1.67,3.707,0.08,0.071,1.347,0.222716471147583,0.129367595722986,-0.200659450546418,1.45,0.161368002234975
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","151","16-Jul-00","7:25",53.52,4.68,14.83,34.39,3.42,5,19,NA,"0.8","Winkler oxygen",2.53,"leucine uptake using 1.5 kg C mol-1 leucine",0.6,0.96,NA,NA,0.19,2.57,2.93,NA,105,2.66,1.297,0.023,0.086,0.91,0.424881636631067,-0.0409586076789064,-0.221848749616356,1.56,0.193124598354462
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","152","16-Jul-00","12:06",53.78,4.67,14.57,34.32,3.03,5,30,NA,"0.8","Winkler oxygen",1.97,"leucine uptake using 1.5 kg C mol-1 leucine",0.43,0.32,NA,NA,0.18,0.94,1.42,NA,92,0.9,1.694,0.229,0.077,0.468,-0.0457574905606751,-0.329754146925876,-0.366531544420413,0.75,-0.1249387366083
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","153","16-Jul-00","18:17",53.35,4.49,15.17,34.73,1.76,5,21,NA,"0.8","Winkler oxygen",3.92,"leucine uptake using 1.5 kg C mol-1 leucine",0.57,0.8,NA,NA,0.13,1.95,3.46,NA,NA,1.09,0.927,0.039,0.044,0.128,0.0374264979406237,-0.892790030352132,-0.244125144327509,1.37,0.136720567156407
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","162","17-Jul-00","6:19",52.66,3.06,14.69,34.87,0.59,5,25,NA,"0.8","Winkler oxygen",1.89,"leucine uptake using 1.5 kg C mol-1 leucine",0.28,0.34,NA,NA,0.13,1.23,1.32,NA,74,0.82,0.242,0.031,0.033,0.067,-0.0861861476162833,-1.17392519729917,-0.552841968657781,0.62,-0.207608310501746
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","164","17-Jul-00","8:44",52.4,3.06,14.89,34.95,1.06,5,32,NA,"0.8","Winkler oxygen",2.29,"leucine uptake using 1.5 kg C mol-1 leucine",0.26,0.52,NA,NA,0.1,1.14,2.23,NA,77,0.94,0.162,0.028,0.029,0.057,-0.0268721464003014,-1.24412514432751,-0.585026652029182,0.78,-0.10790539730952
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","165","17-Jul-00","11:38",52.56,3.04,14.75,34.87,0.66,5,33,NA,"0.8","Winkler oxygen",1.41,"leucine uptake using 1.5 kg C mol-1 leucine",0.37,0.28,NA,NA,0.21,0.75,1.2,NA,81,0.89,0.254,0.035,0.019,0.005,-0.0506099933550872,-2.30102999566398,-0.431798275933005,0.65,-0.187086643357144
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","167","17-Jul-00","13:43",52.81,3.04,14.6,34.3,1.49,5,30,NA,"0.8","Winkler oxygen",0.62,"leucine uptake using 1.5 kg C mol-1 leucine",0.29,0.53,NA,NA,0.32,0.83,1.84,NA,85,1.88,0.624,0.061,0.054,1.341,0.27415784926368,0.127428777851599,-0.537602002101044,0.82,-0.0861861476162833
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","168","17-Jul-00","16:35",52.63,3.06,14.75,34.88,0.66,5,31,NA,"0.8","Winkler oxygen",0.95,"leucine uptake using 1.5 kg C mol-1 leucine",0.48,0.29,NA,NA,0.34,0.75,1.29,NA,75,0.86,0.263,0.03,NA,0.03,-0.0655015487564323,-1.52287874528034,-0.318758762624413,0.77,-0.113509274827518
"Reinthaler, T., and G. J. Herndl. 2005. Seasonal Dynamics of Bacterial Growth Efficiencies in relation to phytoplankton in the Southern North Sea. Aquat. Microb. Ecol. 39:7-16.","Aug 05 - 10 May 06",NA,"N Sea","172","18-Jul-00","6:17",53.76,5,14.8,34.29,3.51,5,29,NA,"0.8","Winkler oxygen",2.67,"leucine uptake using 1.5 kg C mol-1 leucine",0.66,0.79,NA,NA,0.2,1.04,1.43,NA,86,3.08,1.04,0.056,0.088,0.495,0.488550716500444,-0.305394801066431,-0.180456064458131,1.45,0.161368002234975
